id,trt,add,add_new,rdp,epa,District,section,UTM_flsE,UTM_flsN,y95_96,mz_var,lite_txt,sitegrp,yield,N,P2O5,S,Nsq
710058,35:10:0+2S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71005,710600,8287800,1997/98,MH18,medium,Lower Shire valley,1151.51403,35,10,2,1225
710088,35:10:0+2S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71008,710600,8270600,1997/98,MH18,light,Lower Shire valley,2705.14403,35,10,2,1225
710098,35:10:0+2S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71009,699500,8267600,1997/98,MH18,light,Lower Shire valley,1626.74193,35,10,2,1225
710108,35:10:0+2S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71010,717600,8293300,1997/98,MH18,medium,Lower Shire valley,913.9,35,10,2,1225
710118,35:10:0+2S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71011,717600,8293300,1997/98,MH18,medium,Lower Shire valley,1370.85,35,10,2,1225
710128,35:10:0+2S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71012,717300,8284200,1997/98,MH18,light,Lower Shire valley,749.397983,35,10,2,1225
710138,35:10:0+2S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71013,716400,8288800,1997/98,MH18,medium,Lower Shire valley,3655.6,35,10,2,1225
710158,35:10:0+2S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71015,715200,8268900,1997/98,MH18,medium,Lower Shire valley,913.9,35,10,2,1225
710168,35:10:0+2S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71016,723400,8272300,1997/98,MH18,medium,Lower Shire valley,2028.85807,35,10,2,1225
710178,35:10:0+2S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71017,717100,8275200,1997/98,MH18,light,Lower Shire valley,1645.02,35,10,2,1225
710188,35:10:0+2S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71018,716900,8275200,1997/98,MH18,light,Lower Shire valley,1462.24,35,10,2,1225
710198,35:10:0+2S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71019,704600,8297500,1997/98,MH18,light,Lower Shire valley,3582.48807,35,10,2,1225
710208,35:10:0+2S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71020,714100,8278400,1997/98,MH18,medium,Lower Shire valley,2961.03614,35,10,2,1225
710218,35:10:0+2S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71021,709700,8282900,1997/98,MH18,medium,Lower Shire valley,2284.75,35,10,2,1225
710248,35:10:0+2S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71024,707100,8270300,1997/98,MH18,medium,Lower Shire valley,913.9,35,10,2,1225
710258,35:10:0+2S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71025,707100,8270300,1997/98,MH18,medium,Lower Shire valley,2120.24807,35,10,2,1225
710268,35:10:0+2S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71026,707100,8270300,1997/98,MH18,light,Lower Shire valley,3235.20614,35,10,2,1225
710278,35:10:0+2S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71027,715500,8267500,1997/98,MH18,medium,Lower Shire valley,1169.79202,35,10,2,1225
710288,35:10:0+2S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71028,720300,8287600,1997/98,MH18,medium,Lower Shire valley,2010.58,35,10,2,1225
710016,35:00:00,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71001,723900,8275200,1995/96,MH18,medium,Lower Shire valley,2193.36,35,0,0,1225
710016,35:10:0+2S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71001,723900,8275200,1995/96,MH18,medium,Lower Shire valley,4203.94,35,10,2,1225
710046,35:00:00,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71004,702900,8276100,1995/96,MH18,light,Lower Shire valley,3609.905,35,0,0,1225
710046,35:10:0+2S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71004,702900,8276100,1995/96,MH18,light,Lower Shire valley,2604.615,35,10,2,1225
